"user_id","username","email"
"63b5f281-9713-4b1f-a5cc-6b514b4f11f3","shara_test","test@bmsce.ac.in"
"6db6cd1a-eb56-4e52-b6cd-1d0925c83798","amit_sharma","amit.s@example.com"
"bd51639e-8952-429d-bf59-64ef6d16ea6a","ananya_m","ananya.m@example.com"
"88b45111-c886-448c-8ff5-142c33ca6f1c","ishita_s","ishita.s@example.com"
"0c734932-317b-48f2-833a-9be3bb053245","rohan_m","rohan.m@example.com"
"7ff03899-059c-4d18-a7c4-1df4ba20f886","kavya_r","kavya.r@example.com"
"b2403ed7-c98e-4867-a454-1e295e844374","arjun_k","arjun.k@example.com"
"0b79113d-c66e-400e-b572-8734095bb978","meera_k","meera.k@example.com"
"9a2ca551-b2f7-49e2-9d88-23c11a7a2174","vikram_s","vikram.s@example.com"
"1007a1a2-aaad-4a27-b242-aeff96bdcda3","nandini_j","nandini.j@example.com"
"99b2f100-f7c0-452e-b30e-60c25333680c","rahul_d","rahul.d@example.com"
"a8c017fb-d8a0-498c-8b7c-cda8e9d38ee1","rhea_d","rhea.d@example.com"
"2087e120-9bf9-4d13-aaee-fd2c816aceed","sandeep_n","sandeep.n@example.com"
"39861167-8a75-4aee-8bbf-45466b7d081f","sanya_v","sanya.v@example.com"
"4098bb99-a8ae-41fa-96d2-914b09c9490c","varun_b","varun.b@example.com"
"e97ad997-0722-44cd-a1d1-3127493be726","tanvi_p","tanvi.p@example.com"
"d87a559a-6cad-4d22-91a4-c4d993904dde","manoj_h","manoj.h@example.com"
"1ba74a46-ecb7-4d5a-a556-4977bf6b4b4b","vaishnavi_l","vaishnavi.l@example.com"
"194c3c88-dc2d-4ddc-b65c-8d1e18a67303","kartik_f","kartik.f@example.com"
"3fce231b-35eb-4b7d-af20-ab24fe6620d0","zoya_h","zoya.h@example.com"
"22bb8c99-a30f-4ef3-81b7-00f5d597b872","akash_t","akash.t@example.com"
"de21b723-48ee-46f3-bb7b-30d1a1775afd","aditi_b","aditi.b@example.com"
"b5df39b5-9bb5-414f-ab4f-1192db17b1af","suresh_z","suresh.z@example.com"
"2cc26fb1-d5f2-4827-8e6a-5da41d66a044","bhavya_c","bhavya.c@example.com"
"615f9624-4809-4b75-b88a-aaaea3a6543a","vinay_o","vinay.o@example.com"
"d36f1c73-cc89-4abe-ba87-bbec01586297","charu_f","charu.f@example.com"
"2c1901ba-63c8-4bf7-a1fd-09dcc37f4c9e","abhishek_y","abhishek.y@example.com"
"9f40bfe6-8652-4de2-bc58-5f4de9b2b2b7","diya_w","diya.w@example.com"
"ae8bcfc8-3aef-471e-9fdd-5c6aefac96b8","deepak_k","deepak.k@example.com"
"0eb14abc-0337-45c9-a356-e9898ba52ca9","esha_q","esha.q@example.com"
"ce0aa17f-6e45-47d0-a763-3a5fe0e1ae40","mohan_v","mohan.v@example.com"
"5e8d4270-1bf5-4c7b-85fb-b942277fe0c8","falguni_a","falguni.a@example.com"
"289d5703-4627-4ecf-8a77-c4c5562c715d","rajat_r","rajat.r@example.com"
"55437bba-1bae-4961-b9d7-d3d755be9bce","gauri_o","gauri.o@example.com"
"1673977c-4dac-41b2-ad16-4e9f712d752d","yash_g","yash.g@example.com"
"289371d1-ba7e-4594-b639-9056b8cc393d","hazel_u","hazel.u@example.com"
"e0092cc2-6e34-4078-a755-ff7334e049c6","nikhil_j","nikhil.j@example.com"
"4442f768-9dd2-4135-b248-a6ab08e17156","ira_y","ira.y@example.com"
"6bcc325b-42d4-45a8-b512-c7a64abf2977","prakash_l","prakash.l@example.com"
"f177267b-c304-4090-8b8d-94efdcf086f7","janhvi_i","janhvi.i@example.com"
"27d5d72a-4b6e-4789-bc89-4d24c44377a8","vijay_n","vijay.n@example.com"
"b82e504f-287f-4219-9f5e-88a89a7f95d8","kiara_k","kiara.k@example.com"
"94546446-3e7a-43ae-a11b-1c42a6b5b034","ajay_m","ajay.m@example.com"
"b695e721-d6d0-49de-9b64-96af4b6b6594","lekhana_e","lekhana.e@example.com"
"813bcc26-c0a7-4123-97bc-e7d5582a7f48","harish_b","harish.b@example.com"
"9f26bd4f-b322-46d7-bf62-564f1e76da3e","manvi_v","manvi.v@example.com"
"04c920a4-3789-47c1-9788-416bbd44736b","mohit_z","mohit.z@example.com"
"f3f9022a-c406-44c3-af37-fb4963cc6c5f","navya_p","navya.p@example.com"
"b1c898b9-e447-49b9-9efa-0044ac1915f1","ganesh_y","ganesh.y@example.com"
"f68c0bac-f095-49ad-93be-bbceabc2f399","oishani_r","oishani.r@example.com"
"579620d6-2f07-4bca-b978-6abd103e46e4","shivam_t","shivam.t@example.com"
